PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
DC0_VM0;0;67;0;12;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;53;2;4;0;3;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;105;2;3;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;113;0;15;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;53;4;2;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;97;1;1;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;114;4;2;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;67;0;12;0;3;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;79;0;11;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;3;8;0;6;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;113;0;15;0;3;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;113;0;15;0;4;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;3;8;0;7;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;30;4;1;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;97;2;26;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;4;2;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;30;5;3;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;38;0;9;0;6;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;99;1;15;0;7;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;97;2;26;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
