RBS;Occupancy;Time 
RBS_9;1;1238.3004491429533
RBS_9;1;1247.6677811862264
RBS_9;1;1255.7214838614132
RBS_9;1;1289.4636388065012
RBS_9;1;1296.833008254836
RBS_9;1;1315.0655936014482
RBS_9;0;1418.083540674941
RBS_9;1;1515.9637090969688
RBS_9;1;1557.2457111376639
RBS_9;1;1654.067770190605
RBS_9;1;1671.31890407933
RBS_9;1;1679.6588194943868
RBS_9;1;1683.110398807381
RBS_9;1;1692.2456068751346
RBS_9;1;1717.488744259397
RBS_9;1;1761.0691470145355
RBS_9;1;1796.9387614656466
RBS_9;1;1840.5420952020531
RBS_9;0;1923.0415579035678
RBS_9;1;2167.2753845369593
RBS_9;1;2174.5982288777855
RBS_9;1;2180.4499019596615
RBS_9;1;2190.8064461533004
RBS_9;1;2205.3139082532025
RBS_9;1;2222.189699440852
RBS_9;1;2240.0807804720052
RBS_9;1;2251.5454597520784
RBS_9;1;2301.0667843041497
RBS_9;1;2349.621157627474
RBS_9;1;2376.178712833073
RBS_9;1;2403.6409105473626
RBS_9;1;2432.7812751136207
RBS_9;1;2535.011891567179
RBS_9;1;2545.1468386495117
RBS_9;1;2632.5884818405034
RBS_9;1;2639.2875249948934
RBS_9;1;2657.8344292680013
RBS_9;1;2722.5709253707523
RBS_9;1;2734.5498197783472
RBS_9;1;2839.6547427884743
RBS_9;1;2844.213782548718
RBS_9;1;2870.3740602580783
RBS_9;0;2909.14016453694
RBS_9;0;3374.4925284326423
RBS_9;1;3507.9061596339516
RBS_9;1;3524.769437388736
RBS_9;1;3570.85028690741
RBS_9;1;3584.725525032039
RBS_9;1;3599.860658695686
RBS_9;1;3623.6707141656575
RBS_9;1;3644.7806706856873
RBS_9;1;3652.2944630109555
RBS_9;1;3678.1037001787927
RBS_9;0;3761.8704471387487
RBS_9;1;3912.806576841143
RBS_9;1;3924.2727317125778
RBS_9;1;3934.04176667801
RBS_9;1;3940.277293309491
RBS_9;1;3960.252283221016
RBS_9;0;4014.81347361693
RBS_9;1;4366.117037667527
RBS_9;1;4378.994625337362
RBS_9;1;4413.952877336861
RBS_9;1;4417.8397804831
RBS_9;1;4468.6836815367205
RBS_9;1;4480.169441790367
RBS_9;1;4528.0263610100865
RBS_9;1;4614.854173763269
RBS_9;1;4631.274900286326
RBS_9;1;4641.091203160464
RBS_9;1;4756.16577274291
RBS_9;1;4799.7887630325195
RBS_9;1;4822.010259398161
RBS_9;1;4836.555094668947
RBS_9;1;4847.5068716449205
RBS_9;1;4864.6269636444995
RBS_9;0;4983.42363175389
RBS_9;1;5221.780375213837
RBS_9;1;5235.02736551318
RBS_9;1;5257.559515974678
RBS_9;1;5270.182780529443
RBS_9;1;5289.612002484741
RBS_9;1;5296.217704103444
RBS_9;1;5341.8287061810815
RBS_9;1;5345.809318954741
RBS_9;1;5404.2779052112555
RBS_9;1;5418.124768052499
RBS_9;1;5432.000030796364
RBS_9;1;5443.257150506882
RBS_9;1;5455.069588573867
RBS_9;1;5487.845674271522
RBS_9;1;5526.560791309094
RBS_9;1;5545.603363057365
RBS_9;1;5578.069411233144
RBS_9;1;5596.061104249757
RBS_9;1;5630.19663726102
RBS_9;1;5643.676026391456
RBS_9;1;5675.353501958931
RBS_9;1;5677.818329246965
RBS_9;1;5738.982703138591
RBS_9;1;5779.943599063348
RBS_9;1;5801.206983747057
RBS_9;1;5805.359562471738
RBS_9;1;5848.266503061133
RBS_9;1;5858.369469788194
RBS_9;1;5927.490564195467
RBS_9;1;5929.163077425664
RBS_9;1;5939.100081057957
RBS_9;1;5955.159929319656
RBS_9;1;5984.812442954568
RBS_9;1;5992.9689350878725
RBS_9;0;6077.45536739989
RBS_9;0;-1.0
RBS_10;0;-1.0
RBS_11;0;-1.0
RBS_12;1;6713.947000706111
RBS_12;1;6726.237915151778
RBS_12;1;6754.1740681965375
RBS_12;1;6758.798867107787
RBS_12;1;6775.497679687186
RBS_12;1;6899.458025169425
RBS_12;1;6945.24401773396
RBS_12;1;6946.743424715926
RBS_12;1;6953.086258170728
RBS_12;1;6966.344416413327
RBS_12;1;6986.75407586352
RBS_12;1;7013.280481737772
