PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
DC13_VM0;0;50;0;508;1;111;0.0;0.003;0.002;0.01;5.943455292632734;0.003;522.9439965922468;
DC13_VM0;0;50;0;508;1;112;0.0;0.003;0.002;0.01;5.943455292632734;0.003;528.8774518848795;
DC13_VM0;0;50;0;508;1;113;0.0;0.003;0.002;0.01;5.943455292632734;0.003;534.8109071775123;
DC13_VM0;0;50;0;508;1;114;0.0;0.003;0.002;0.01;5.943455292632734;0.003;540.744362470145;
DC13_VM0;0;50;0;508;1;115;0.0;0.003;0.002;0.01;5.943455292632734;0.003;546.6778177627777;
DC13_VM0;0;50;0;508;1;116;0.0;0.003;0.002;0.01;5.943455292632734;0.003;552.6112730554105;
DC13_VM0;0;50;0;508;1;117;0.0;0.003;0.002;0.01;5.943455292632734;0.003;558.5447283480432;
DC13_VM0;0;50;0;508;1;118;0.0;0.003;0.002;0.01;5.943455292632734;0.003;564.478183640676;
DC13_VM0;0;50;0;508;1;119;0.0;0.003;0.002;0.01;5.943455292632734;0.003;570.4116389333087;
DC13_VM0;0;50;0;508;1;120;0.0;0.003;0.002;0.01;5.943455292632734;0.003;576.3450942259415;
DC13_VM0;0;50;0;508;1;121;0.0;0.003;0.002;0.01;5.943455292632734;0.003;582.2785495185742;
DC13_VM0;0;50;0;508;1;122;0.0;0.003;0.002;0.01;5.943455292632734;0.003;588.212004811207;
DC13_VM0;0;50;0;508;1;123;0.0;0.003;0.002;0.01;5.943455292632734;0.003;594.1454601038397;
null;0;50;0;508;0;0;0.0;0.003;0.001;0.0;5.943455292632734;0.003;82.0;
DC14_VM0;0;50;0;508;0;1;0.0;0.003;0.001;0.0;5.943455292632734;0.003;87.85738905470248;
DC14_VM0;0;50;0;508;0;2;0.0;0.003;0.001;0.0;5.943455292632734;0.003;93.48382143747496;
DC14_VM0;0;50;0;508;0;3;0.0;0.003;0.001;0.0;5.943455292632734;0.003;99.31206711831113;
DC14_VM0;0;50;0;508;0;4;0.0;0.003;0.001;0.0;5.943455292632734;0.003;105.17171194305813;
DC14_VM0;0;50;0;508;0;5;0.0;0.003;0.001;0.0;5.943455292632734;0.003;110.4937072521698;
DC14_VM0;0;50;0;508;0;6;0.0;0.003;0.001;0.0;5.943455292632734;0.003;116.33040349692631;
DC14_VM0;0;50;0;508;0;7;0.0;0.003;0.001;0.0;5.943455292632734;0.003;122.12283897863124;
DC14_VM0;0;50;0;508;0;8;0.0;0.003;0.001;0.0;5.943455292632734;0.003;127.58065350920096;
DC14_VM0;0;50;0;508;0;9;0.0;0.003;0.001;0.0;5.943455292632734;0.003;133.0702379271862;
DC14_VM0;0;50;0;508;0;10;0.0;0.003;0.001;0.0;5.943455292632734;0.003;138.63433680818326;
DC14_VM0;0;50;0;508;0;11;0.0;0.003;0.001;0.0;5.943455292632734;0.003;144.1180055692014;
DC14_VM0;0;50;0;508;0;12;0.0;0.003;0.001;0.0;5.943455292632734;0.003;149.87358457831874;
DC14_VM0;0;50;0;508;0;13;0.0;0.003;0.001;0.0;5.943455292632734;0.003;155.72220876389494;
DC14_VM0;0;50;0;508;0;14;0.0;0.003;0.001;0.0;5.943455292632734;0.003;160.77283659490863;
DC14_VM0;0;50;0;508;0;15;0.0;0.003;0.001;0.0;5.943455292632734;0.003;166.4804752201748;
DC14_VM0;0;50;0;508;0;16;0.0;0.003;0.001;0.0;5.943455292632734;0.003;172.17494459217897;
DC14_VM0;0;50;0;508;0;17;0.0;0.003;0.001;0.0;5.943455292632734;0.003;177.96105606417828;
DC14_VM0;0;50;0;508;0;18;0.0;0.003;0.001;0.0;5.943455292632734;0.003;183.6721752249369;
DC14_VM0;0;50;0;508;0;19;0.0;0.003;0.001;0.0;5.943455292632734;0.003;188.70892521854324;
DC14_VM0;0;50;0;508;0;20;0.0;0.003;0.001;0.0;5.943455292632734;0.003;194.57980077323427;
DC14_VM0;0;50;0;508;0;21;0.0;0.003;0.001;0.0;5.943455292632734;0.003;200.24317270250774;
DC14_VM0;0;50;0;508;0;22;0.0;0.003;0.001;0.0;5.943455292632734;0.003;206.06488561206737;
DC14_VM0;0;50;0;508;0;23;0.0;0.003;0.001;0.0;5.943455292632734;0.003;211.80861220713007;
DC14_VM0;0;50;0;508;0;24;0.0;0.003;0.001;0.0;5.943455292632734;0.003;217.35332118742727;
DC14_VM0;0;50;0;508;0;25;0.0;0.003;0.001;0.0;5.943455292632734;0.003;223.13194555308587;
DC14_VM0;0;50;0;508;0;26;0.0;0.003;0.001;0.0;5.943455292632734;0.003;228.65104929366706;
DC14_VM0;0;50;0;508;0;27;0.0;0.003;0.001;0.0;5.943455292632734;0.003;234.2634985872819;
DC14_VM0;0;50;0;508;0;28;0.0;0.003;0.001;0.0;5.943455292632734;0.003;239.8230527824786;
DC14_VM0;0;50;0;508;0;29;0.0;0.003;0.001;0.0;5.943455292632734;0.003;245.40837116440264;
DC14_VM0;0;50;0;508;0;30;0.0;0.003;0.001;0.0;5.943455292632734;0.003;250.47492619992198;
DC14_VM0;0;50;0;508;0;31;0.0;0.003;0.001;0.0;5.943455292632734;0.003;255.9392550368275;
DC14_VM0;0;50;0;508;0;32;0.0;0.003;0.001;0.0;5.943455292632734;0.003;261.6951908640048;
DC14_VM0;0;50;0;508;0;33;0.0;0.003;0.001;0.0;5.943455292632734;0.003;267.4729640227427;
DC14_VM0;0;50;0;508;0;34;0.0;0.003;0.001;0.0;5.943455292632734;0.003;272.88888998582826;
